"","res_id","date_gen","date_checkin","nights","guests","ori_id","agency_id","mean_price_per_night","status"
"41256",10546319,2021-03-10,2021-03-19,1,2,11,"Agencia_2",29.99,"Cancelled"
"41257",10811450,2021-05-14,2021-05-18,1,2,11,"Agencia_2",45.9,"Cancelled"
"41258",10536451,2021-03-08,2021-06-03,3,2,11,"Agencia_2",64.31,"Cancelled"
"41259",10536598,2021-03-08,2021-04-10,1,2,11,"Agencia_2",29.99,"Cancelled"
"41260",10536871,2021-03-08,2021-03-08,1,2,11,"Agencia_2",29.99,"Cancelled"
"41261",10537050,2021-03-08,2021-03-13,1,2,11,"Agencia_2",29.99,"Cancelled"
"41262",10537068,2021-03-08,2021-03-27,1,2,11,"Agencia_2",29.99,"Cancelled"
"41263",10537069,2021-03-08,2021-03-27,1,2,11,"Agencia_2",29.99,"Cancelled"
"41264",10537178,2021-03-08,2021-03-12,1,2,11,"Agencia_2",29.99,"Cancelled"
"41265",10537308,2021-03-08,2021-03-19,1,2,11,"Agencia_2",29.99,"Cancelled"
"41266",10537513,2021-03-08,2021-03-19,1,2,11,"Agencia_2",29.99,"Cancelled"
"41267",10811989,2021-05-14,2021-05-18,2,2,11,"Agencia_2",46,"Cancelled"
"41268",10537552,2021-03-08,2021-03-27,1,2,11,"Agencia_2",29.99,"Cancelled"
"41269",10537816,2021-03-08,2021-03-13,1,2,11,"Agencia_2",61,"Confirmed"
"41270",10537814,2021-03-08,2021-03-17,1,2,11,"Agencia_2",29.99,"Cancelled"
"41271",10537889,2021-03-08,2021-03-13,1,2,11,"Agencia_2",29.99,"Cancelled"
"41272",11458779,2021-08-20,2021-08-20,1,2,11,"Agencia_2",72.91,"Cancelled"
"41273",11458766,2021-08-20,2021-08-29,4,3,11,"Agencia_2",80.8,"Cancelled"
"41274",10537946,2021-03-08,2021-03-20,1,2,11,"Agencia_2",29.99,"Cancelled"
"41275",10538044,2021-03-08,2021-03-19,1,2,11,"Agencia_2",29.99,"Cancelled"
"41276",10795917,2021-05-12,2021-05-14,1,2,11,"Agencia_2",29.99,"Cancelled"
"41277",10537932,2021-03-08,2021-03-27,1,2,11,"Agencia_2",29.99,"Cancelled"
"41278",10537940,2021-03-08,2021-03-19,1,2,11,"Agencia_2",29.99,"Cancelled"
"41279",10538084,2021-03-08,2021-03-11,2,2,11,"Agencia_2",29.995,"Cancelled"
"41280",10812322,2021-05-14,2021-05-16,2,2,11,"Agencia_2",34,"Confirmed"
"41281",10538110,2021-03-08,2021-03-27,1,2,11,"Agencia_2",29.99,"Cancelled"
"41282",10741599,2021-05-02,2021-05-14,1,2,11,"Agencia_2",29.99,"Cancelled"
"41283",10538135,2021-03-08,2021-03-19,1,2,11,"Agencia_2",29.99,"Cancelled"
"41284",10546743,2021-03-11,2021-03-20,1,2,11,"Agencia_2",29.99,"Cancelled"
"41285",10538193,2021-03-08,2021-03-25,3,2,11,"Agencia_2",35.9766666666667,"Cancelled"
"41286",10812638,2021-05-14,2021-06-19,1,2,11,"Agencia_2",29.99,"Cancelled"
"41287",10546974,2021-03-11,2021-03-26,1,2,11,"Agencia_2",29.99,"Cancelled"
"41288",10538353,2021-03-08,2021-03-09,1,2,11,"Agencia_2",29.99,"Cancelled"
"41289",10546993,2021-03-11,2021-03-12,1,2,11,"Agencia_2",29.99,"Cancelled"
"41290",10812947,2021-05-14,2021-05-17,1,2,11,"Agencia_2",41,"Confirmed"
"41291",10812971,2021-05-14,2021-06-18,1,2,11,"Agencia_2",29.99,"Cancelled"
"41292",10813091,2021-05-14,2021-05-15,1,2,11,"Agencia_2",86.09,"Cancelled"
"41293",10816360,2021-05-15,2021-05-16,2,2,11,"Agencia_2",34,"Cancelled"
"41294",10816417,2021-05-15,2021-09-02,3,3,11,"Agencia_2",120.983333333333,"Confirmed"
"41295",10816455,2021-05-15,2021-06-05,1,2,11,"Agencia_2",29.99,"Cancelled"
"41296",10816456,2021-05-15,2021-06-05,1,2,11,"Agencia_2",29.99,"Cancelled"
"41297",10813413,2021-05-14,2021-05-17,1,2,11,"Agencia_2",29.99,"Cancelled"
"41298",10816462,2021-05-15,2021-05-25,1,2,11,"Agencia_2",29.99,"Cancelled"
"41299",10816486,2021-05-15,2021-05-27,3,2,11,"Agencia_2",44.25,"Cancelled"
"41300",10816487,2021-05-15,2021-05-27,3,2,11,"Agencia_2",44.25,"Cancelled"
"41301",10816491,2021-05-15,2021-05-28,3,0,11,"Agencia_2",0,"Confirmed"
"41302",10816505,2021-05-15,2021-05-16,1,2,11,"Agencia_2",27,"Cancelled"
"41303",10816525,2021-05-15,2021-06-11,2,1,11,"Agencia_2",70.9,"Cancelled"
"41304",11458837,2021-08-20,2021-08-20,1,2,11,"Agencia_2",81,"Cancelled"
"41305",11459443,2021-08-20,2021-09-04,5,2,11,"Agencia_2",114.394,"Cancelled"
"41306",10813490,2021-05-14,2021-05-30,4,3,11,"Agencia_2",41.25,"Cancelled"
"41307",10813491,2021-05-14,2021-05-19,1,2,11,"Agencia_2",29.99,"Cancelled"
"41308",10816488,2021-05-15,2021-05-27,3,2,11,"Agencia_2",44.25,"Cancelled"
"41309",10547439,2021-03-11,2021-04-02,1,2,11,"Agencia_2",29.99,"Cancelled"
